시간대_매출금액,기준_년,기준_분기,상권_코드,행정동_코드,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,총_상주인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,시간대_레이블,상권_구분_코드_레이블
479556006.0,2021,1,3110997,11680730.0,396392.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0,6,1
586223612.0,2021,1,3110997,11680730.0,390170.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0,5,1
266340038.0,2021,1,3110997,11680730.0,273425.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0,4,1
220175262.0,2021,1,3110997,11680730.0,296107.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0,3,1
288779192.0,2021,1,3110997,11680730.0,614126.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0,2,1
191954664.0,2021,1,3110997,11680730.0,937469.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0,1,1
153626534.0,2021,1,3110999,11680700.0,22953.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0,6,1
207407422.0,2021,1,3110999,11680700.0,26945.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0,5,1
91119809.0,2021,1,3110999,11680700.0,18991.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0,4,1
82378671.0,2021,1,3110999,11680700.0,18706.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0,3,1
101484750.0,2021,1,3110999,11680700.0,33592.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0,2,1
80234841.0,2021,1,3110999,11680700.0,44520.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0,1,1
530762935.0,2021,1,3120185,11680521.0,279629.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0,6,2
748425412.0,2021,1,3120185,11680521.0,512247.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0,5,2
357181157.0,2021,1,3120185,11680521.0,436629.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0,4,2
415183190.0,2021,1,3120185,11680521.0,428265.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0,3,2
627629133.0,2021,1,3120185,11680521.0,546485.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0,2,2
229110780.0,2021,1,3120185,11680521.0,476253.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0,1,2
229416966.0,2021,1,3120186,11680510.0,223193.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0,6,2
326323697.0,2021,1,3120186,11680510.0,545777.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0,5,2
219855417.0,2021,1,3120186,11680510.0,455833.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0,4,2
214350582.0,2021,1,3120186,11680510.0,410545.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0,3,2
197520344.0,2021,1,3120186,11680510.0,420189.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0,2,2
66043755.0,2021,1,3120186,11680510.0,327462.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0,1,2
871844133.0,2021,1,3120187,11680521.0,316342.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0,6,2
1097365545.0,2021,1,3120187,11680521.0,718548.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0,5,2
566983721.0,2021,1,3120187,11680521.0,597226.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0,4,2
584764972.0,2021,1,3120187,11680521.0,556192.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0,3,2
674006197.0,2021,1,3120187,11680521.0,626535.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0,2,2
345303557.0,2021,1,3120187,11680521.0,503678.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0,1,2
231943437.0,2021,1,3120188,11680510.0,141992.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0,6,2
388606556.0,2021,1,3120188,11680510.0,386101.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0,5,2
264596997.0,2021,1,3120188,11680510.0,365626.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0,4,2
251437739.0,2021,1,3120188,11680510.0,339015.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0,3,2
303000006.0,2021,1,3120188,11680510.0,323715.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0,2,2
64568387.0,2021,1,3120188,11680510.0,196745.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0,1,2
615996832.0,2021,1,3120190,11680545.0,128584.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0,6,2
765008274.0,2021,1,3120190,11680545.0,266165.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0,5,2
456347787.0,2021,1,3120190,11680545.0,259207.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0,4,2
612913031.0,2021,1,3120190,11680545.0,251111.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0,3,2
531578455.0,2021,1,3120190,11680545.0,282441.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0,2,2
258898514.0,2021,1,3120190,11680545.0,228882.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0,1,2
654218877.0,2021,1,3120191,11680521.0,203275.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0,6,2
856573639.0,2021,1,3120191,11680521.0,361935.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0,5,2
458801217.0,2021,1,3120191,11680521.0,342857.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0,4,2
605403678.0,2021,1,3120191,11680521.0,342162.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0,3,2
733106499.0,2021,1,3120191,11680521.0,439299.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0,2,2
354358192.0,2021,1,3120191,11680521.0,373723.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0,1,2
1310413306.0,2021,1,3120192,11680640.0,228629.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0,6,2
1563203710.0,2021,1,3120192,11680640.0,403147.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0,5,2
837243543.0,2021,1,3120192,11680640.0,385152.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0,4,2
877595128.0,2021,1,3120192,11680640.0,392661.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0,3,2
920855499.0,2021,1,3120192,11680640.0,506964.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0,2,2
479484898.0,2021,1,3120192,11680640.0,412859.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0,1,2
161752249.0,2021,1,3120193,11680545.0,57635.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0,6,2
286686435.0,2021,1,3120193,11680545.0,145488.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0,5,2
222992665.0,2021,1,3120193,11680545.0,144673.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0,4,2
280173512.0,2021,1,3120193,11680545.0,142952.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0,3,2
254828692.0,2021,1,3120193,11680545.0,144664.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0,2,2
68790206.0,2021,1,3120193,11680545.0,93479.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0,1,2
480874935.0,2021,1,3120194,11680531.0,188571.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0,6,2
635175974.0,2021,1,3120194,11680531.0,343537.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0,5,2
371395261.0,2021,1,3120194,11680531.0,330102.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0,4,2
432340912.0,2021,1,3120194,11680531.0,330372.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0,3,2
417402387.0,2021,1,3120194,11680531.0,418169.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0,2,2
248555613.0,2021,1,3120194,11680531.0,337679.0,302979.2,216766.0,12628.0,2599.0,1764.0,67.0,3258234.0,7.0,1889746203.0,1,2
46201123.0,2021,1,3120195,11680545.0,70452.0,124806.8,100816.0,5611.0,444.0,224.0,51.0,3256289.0,7.0,813650624.0,6,2
78076728.0,2021,1,3120195,11680545.0,191120.0,124806.8,100816.0,5611.0,444.0,224.0,51.0,3256289.0,7.0,813650624.0,5,2
67879893.0,2021,1,3120195,11680545.0,171830.0,124806.8,100816.0,5611.0,444.0,224.0,51.0,3256289.0,7.0,813650624.0,4,2
73245518.0,2021,1,3120195,11680545.0,157889.0,124806.8,100816.0,5611.0,444.0,224.0,51.0,3256289.0,7.0,813650624.0,3,2
61452785.0,2021,1,3120195,11680545.0,142206.0,124806.8,100816.0,5611.0,444.0,224.0,51.0,3256289.0,7.0,813650624.0,2,2
42629436.0,2021,1,3120195,11680545.0,92170.0,124806.8,100816.0,5611.0,444.0,224.0,51.0,3256289.0,7.0,813650624.0,1,2
269594640.0,2021,1,3120196,11680531.0,74956.0,119077.8,83151.0,9664.0,1453.0,940.0,38.0,3429613.0,7.0,401199127.0,6,2
365998917.0,2021,1,3120196,11680531.0,135742.0,119077.8,83151.0,9664.0,1453.0,940.0,38.0,3429613.0,7.0,401199127.0,5,2
205733287.0,2021,1,3120196,11680531.0,129230.0,119077.8,83151.0,9664.0,1453.0,940.0,38.0,3429613.0,7.0,401199127.0,4,2
278594499.0,2021,1,3120196,11680531.0,129341.0,119077.8,83151.0,9664.0,1453.0,940.0,38.0,3429613.0,7.0,401199127.0,3,2
289522908.0,2021,1,3120196,11680531.0,158060.0,119077.8,83151.0,9664.0,1453.0,940.0,38.0,3429613.0,7.0,401199127.0,2,2
151328697.0,2021,1,3120196,11680531.0,134365.0,119077.8,83151.0,9664.0,1453.0,940.0,38.0,3429613.0,7.0,401199127.0,1,2
2276082230.0,2021,1,3120197,11680640.0,323543.0,679928.0,342667.0,58731.0,6083.0,4337.0,172.0,3487230.0,7.0,3212597751.0,6,2
2995787299.0,2021,1,3120197,11680640.0,761346.0,679928.0,342667.0,58731.0,6083.0,4337.0,172.0,3487230.0,7.0,3212597751.0,5,2
1947965396.0,2021,1,3120197,11680640.0,817195.0,679928.0,342667.0,58731.0,6083.0,4337.0,172.0,3487230.0,7.0,3212597751.0,4,2
2325701881.0,2021,1,3120197,11680640.0,808843.0,679928.0,342667.0,58731.0,6083.0,4337.0,172.0,3487230.0,7.0,3212597751.0,3,2
2221853857.0,2021,1,3120197,11680640.0,862354.0,679928.0,342667.0,58731.0,6083.0,4337.0,172.0,3487230.0,7.0,3212597751.0,2,2
1005439685.0,2021,1,3120197,11680640.0,511688.0,679928.0,342667.0,58731.0,6083.0,4337.0,172.0,3487230.0,7.0,3212597751.0,1,2
604093945.0,2021,1,3120198,11680640.0,272968.0,400443.6,297115.0,11531.0,7376.0,5072.0,37.0,3332219.0,7.0,3913260246.0,6,2
759748629.0,2021,1,3120198,11680640.0,431329.0,400443.6,297115.0,11531.0,7376.0,5072.0,37.0,3332219.0,7.0,3913260246.0,5,2
359197437.0,2021,1,3120198,11680640.0,394995.0,400443.6,297115.0,11531.0,7376.0,5072.0,37.0,3332219.0,7.0,3913260246.0,4,2
438176030.0,2021,1,3120198,11680640.0,400228.0,400443.6,297115.0,11531.0,7376.0,5072.0,37.0,3332219.0,7.0,3913260246.0,3,2
464603684.0,2021,1,3120198,11680640.0,550935.0,400443.6,297115.0,11531.0,7376.0,5072.0,37.0,3332219.0,7.0,3913260246.0,2,2
321163052.0,2021,1,3120198,11680640.0,545993.0,400443.6,297115.0,11531.0,7376.0,5072.0,37.0,3332219.0,7.0,3913260246.0,1,2
649207341.0,2021,1,3120199,11680640.0,64542.0,98433.6,74856.5,3427.0,862.0,598.0,11.0,3030210.0,7.0,534208860.0,6,2
795423425.0,2021,1,3120199,11680640.0,113096.0,98433.6,74856.5,3427.0,862.0,598.0,11.0,3030210.0,7.0,534208860.0,5,2
462462779.0,2021,1,3120199,11680640.0,103969.0,98433.6,74856.5,3427.0,862.0,598.0,11.0,3030210.0,7.0,534208860.0,4,2
577433165.0,2021,1,3120199,11680640.0,106672.0,98433.6,74856.5,3427.0,862.0,598.0,11.0,3030210.0,7.0,534208860.0,3,2
526499261.0,2021,1,3120199,11680640.0,138304.0,98433.6,74856.5,3427.0,862.0,598.0,11.0,3030210.0,7.0,534208860.0,2,2
434848231.0,2021,1,3120199,11680640.0,115298.0,98433.6,74856.5,3427.0,862.0,598.0,11.0,3030210.0,7.0,534208860.0,1,2
476110806.0,2021,1,3120200,11680565.0,106232.0,199259.0,155220.0,9363.0,976.0,565.0,81.0,3402858.0,7.0,1006064987.0,6,2
875883129.0,2021,1,3120200,11680565.0,289688.0,199259.0,155220.0,9363.0,976.0,565.0,81.0,3402858.0,7.0,1006064987.0,5,2
514020231.0,2021,1,3120200,11680565.0,270441.0,199259.0,155220.0,9363.0,976.0,565.0,81.0,3402858.0,7.0,1006064987.0,4,2
525681838.0,2021,1,3120200,11680565.0,257886.0,199259.0,155220.0,9363.0,976.0,565.0,81.0,3402858.0,7.0,1006064987.0,3,2
