시간대_매출금액,시간대_유동인구_수,유동인구_수_평균,총_직장_인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,지출_총금액
90999702.0,95671.0,68188.15,13950.0,592.0,22.0,3506683.0,1848282139.0
121970746.0,91691.0,68188.15,13950.0,592.0,22.0,3506683.0,1848282139.0
169706130.0,103690.0,68188.15,13950.0,592.0,22.0,3506683.0,1848282139.0
40555697.0,75342.0,68188.15,13950.0,592.0,22.0,3506683.0,1848282139.0
394508741.0,124234.0,159667.3,5243.0,2106.0,45.0,3882226.0,1721637065.0
604940445.0,192103.0,159667.3,5243.0,2106.0,45.0,3882226.0,1721637065.0
357130899.0,179663.0,159667.3,5243.0,2106.0,45.0,3882226.0,1721637065.0
412683221.0,184823.0,159667.3,5243.0,2106.0,45.0,3882226.0,1721637065.0
410267863.0,257567.0,159667.3,5243.0,2106.0,45.0,3882226.0,1721637065.0
180614316.0,238283.0,159667.3,5243.0,2106.0,45.0,3882226.0,1721637065.0
550681283.0,248308.0,319273.5,11920.0,3816.0,73.0,3669932.0,4195722577.0
764929941.0,400530.0,319273.5,11920.0,3816.0,73.0,3669932.0,4195722577.0
404653139.0,352761.0,319273.5,11920.0,3816.0,73.0,3669932.0,4195722577.0
480996582.0,348673.0,319273.5,11920.0,3816.0,73.0,3669932.0,4195722577.0
442510476.0,487966.0,319273.5,11920.0,3816.0,73.0,3669932.0,4195722577.0
190893636.0,486363.0,319273.5,11920.0,3816.0,73.0,3669932.0,4195722577.0
475192213.0,160269.0,221607.8,11437.0,1999.0,95.0,4085253.0,1972996589.0
696088557.0,297545.0,221607.8,11437.0,1999.0,95.0,4085253.0,1972996589.0
427634318.0,266731.0,221607.8,11437.0,1999.0,95.0,4085253.0,1972996589.0
512903102.0,265261.0,221607.8,11437.0,1999.0,95.0,4085253.0,1972996589.0
504176998.0,327449.0,221607.8,11437.0,1999.0,95.0,4085253.0,1972996589.0
191022700.0,288708.0,221607.8,11437.0,1999.0,95.0,4085253.0,1972996589.0
419112553.0,75455.0,102752.15,8987.0,671.0,75.0,4707158.0,675548286.0
546219037.0,141373.0,102752.15,8987.0,671.0,75.0,4707158.0,675548286.0
334250830.0,127695.0,102752.15,8987.0,671.0,75.0,4707158.0,675548286.0
320420153.0,124552.0,102752.15,8987.0,671.0,75.0,4707158.0,675548286.0
296197029.0,152383.0,102752.15,8987.0,671.0,75.0,4707158.0,675548286.0
116901350.0,130781.0,102752.15,8987.0,671.0,75.0,4707158.0,675548286.0
1144088201.0,445611.0,668134.55,48780.0,3339.0,152.0,3481614.0,4218890942.0
1585797357.0,964030.0,668134.55,48780.0,3339.0,152.0,3481614.0,4218890942.0
878081776.0,912744.0,668134.55,48780.0,3339.0,152.0,3481614.0,4218890942.0
1079454517.0,916081.0,668134.55,48780.0,3339.0,152.0,3481614.0,4218890942.0
1281999671.0,1067867.0,668134.55,48780.0,3339.0,152.0,3481614.0,4218890942.0
493461725.0,794654.0,668134.55,48780.0,3339.0,152.0,3481614.0,4218890942.0
152724339.0,68677.0,101738.5,984.0,726.0,28.0,4176833.0,824959664.0
