시간대_매출금액,기준_년,기준_분기,시간대,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,총_상주인구_수,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액
586223612.0,2021,1,4,0,0,3110997,17,11680.0,0,11680730.0,17,390170.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
266340038.0,2021,1,3,0,0,3110997,17,11680.0,0,11680730.0,17,273425.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
220175262.0,2021,1,2,0,0,3110997,17,11680.0,0,11680730.0,17,296107.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
288779192.0,2021,1,1,0,0,3110997,17,11680.0,0,11680730.0,17,614126.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
191954664.0,2021,1,0,0,0,3110997,17,11680.0,0,11680730.0,17,937469.0,419761.0,404441.0,1724.0,7187.0,3441.0,49.0,3135357.0,7.0,7111260999.0
153626534.0,2021,1,5,0,0,3110999,50,11680.0,0,11680700.0,11,22953.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
207407422.0,2021,1,4,0,0,3110999,50,11680.0,0,11680700.0,11,26945.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
91119809.0,2021,1,3,0,0,3110999,50,11680.0,0,11680700.0,11,18991.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
82378671.0,2021,1,2,0,0,3110999,50,11680.0,0,11680700.0,11,18706.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
101484750.0,2021,1,1,0,0,3110999,50,11680.0,0,11680700.0,11,33592.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
80234841.0,2021,1,0,0,0,3110999,50,11680.0,0,11680700.0,11,44520.0,23465.8,24188.0,268.0,3223.0,2418.0,14.0,3614875.0,7.0,798255194.0
530762935.0,2021,1,5,1,2,3120185,15,11680.0,0,11680521.0,2,279629.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
748425412.0,2021,1,4,1,2,3120185,15,11680.0,0,11680521.0,2,512247.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
357181157.0,2021,1,3,1,2,3120185,15,11680.0,0,11680521.0,2,436629.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
415183190.0,2021,1,2,1,2,3120185,15,11680.0,0,11680521.0,2,428265.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
627629133.0,2021,1,1,1,2,3120185,15,11680.0,0,11680521.0,2,546485.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
229110780.0,2021,1,0,1,2,3120185,15,11680.0,0,11680521.0,2,476253.0,411911.8,309973.0,12723.0,3722.0,2397.0,107.0,3218459.0,7.0,3814667562.0
229416966.0,2021,1,5,1,2,3120186,0,11680.0,0,11680510.0,13,223193.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0
326323697.0,2021,1,4,1,2,3120186,0,11680.0,0,11680510.0,13,545777.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0
219855417.0,2021,1,3,1,2,3120186,0,11680.0,0,11680510.0,13,455833.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0
214350582.0,2021,1,2,1,2,3120186,0,11680.0,0,11680510.0,13,410545.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0
197520344.0,2021,1,1,1,2,3120186,0,11680.0,0,11680510.0,13,420189.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0
66043755.0,2021,1,0,1,2,3120186,0,11680.0,0,11680510.0,13,327462.0,357954.4,296614.5,6518.0,3152.0,1777.0,44.0,3602514.0,7.0,2489687551.0
871844133.0,2021,1,5,1,2,3120187,39,11680.0,0,11680521.0,2,316342.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0
1097365545.0,2021,1,4,1,2,3120187,39,11680.0,0,11680521.0,2,718548.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0
566983721.0,2021,1,3,1,2,3120187,39,11680.0,0,11680521.0,2,597226.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0
584764972.0,2021,1,2,1,2,3120187,39,11680.0,0,11680521.0,2,556192.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0
674006197.0,2021,1,1,1,2,3120187,39,11680.0,0,11680521.0,2,626535.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0
345303557.0,2021,1,0,1,2,3120187,39,11680.0,0,11680521.0,2,503678.0,500753.4,407377.5,13076.0,5512.0,3959.0,156.0,3167104.0,7.0,3373530633.0
231943437.0,2021,1,5,1,2,3120188,41,11680.0,0,11680510.0,13,141992.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0
388606556.0,2021,1,4,1,2,3120188,41,11680.0,0,11680510.0,13,386101.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0
264596997.0,2021,1,3,1,2,3120188,41,11680.0,0,11680510.0,13,365626.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0
251437739.0,2021,1,2,1,2,3120188,41,11680.0,0,11680510.0,13,339015.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0
303000006.0,2021,1,1,1,2,3120188,41,11680.0,0,11680510.0,13,323715.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0
64568387.0,2021,1,0,1,2,3120188,41,11680.0,0,11680510.0,13,196745.0,270575.0,200160.5,8579.0,1129.0,598.0,215.0,3837465.0,8.0,1170392552.0
615996832.0,2021,1,5,1,2,3120190,6,11680.0,0,11680545.0,14,128584.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0
765008274.0,2021,1,4,1,2,3120190,6,11680.0,0,11680545.0,14,266165.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0
456347787.0,2021,1,3,1,2,3120190,6,11680.0,0,11680545.0,14,259207.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0
612913031.0,2021,1,2,1,2,3120190,6,11680.0,0,11680545.0,14,251111.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0
531578455.0,2021,1,1,1,2,3120190,6,11680.0,0,11680545.0,14,282441.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0
258898514.0,2021,1,0,1,2,3120190,6,11680.0,0,11680545.0,14,228882.0,222000.0,153195.5,11725.0,2366.0,1367.0,75.0,3360098.0,7.0,1867827087.0
654218877.0,2021,1,5,1,2,3120191,57,11680.0,0,11680521.0,2,203275.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0
856573639.0,2021,1,4,1,2,3120191,57,11680.0,0,11680521.0,2,361935.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0
458801217.0,2021,1,3,1,2,3120191,57,11680.0,0,11680521.0,2,342857.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0
605403678.0,2021,1,2,1,2,3120191,57,11680.0,0,11680521.0,2,342162.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0
733106499.0,2021,1,1,1,2,3120191,57,11680.0,0,11680521.0,2,439299.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0
354358192.0,2021,1,0,1,2,3120191,57,11680.0,0,11680521.0,2,373723.0,321127.0,228808.5,13888.0,4438.0,2983.0,68.0,3300184.0,7.0,2887323339.0
1310413306.0,2021,1,5,1,2,3120192,28,11680.0,0,11680640.0,15,228629.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0
1563203710.0,2021,1,4,1,2,3120192,28,11680.0,0,11680640.0,15,403147.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0
837243543.0,2021,1,3,1,2,3120192,28,11680.0,0,11680640.0,15,385152.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0
877595128.0,2021,1,2,1,2,3120192,28,11680.0,0,11680640.0,15,392661.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0
920855499.0,2021,1,1,1,2,3120192,28,11680.0,0,11680640.0,15,506964.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0
479484898.0,2021,1,0,1,2,3120192,28,11680.0,0,11680640.0,15,412859.0,366682.0,248001.5,27363.0,6623.0,4718.0,85.0,4243697.0,8.0,3473998985.0
161752249.0,2021,1,5,1,2,3120193,23,11680.0,0,11680545.0,14,57635.0,115320.4,76145.0,6384.0,1184.0,596.0,22.0,3265276.0,7.0,1019509440.0
