,기준년코드,기준분기코드,행정동코드,행정동코드명,임대시세층구분코드,임대시세층구분명,보증금평균,월임대료평균,환산임대료평균,임대건수
143,2021,3,11680510,신사동,2,1층외,1572853.0,89610.0,105338.0,418.0
144,2021,3,11680521,논현1동,0,전체층,1744453.0,114566.0,132011.0,738.0
145,2021,3,11680521,논현1동,1,1층,2128476.0,142686.0,163971.0,293.0
146,2021,3,11680521,논현1동,2,1층외,1491603.0,96052.0,110968.0,445.0
147,2021,3,11680531,논현2동,0,전체층,1344922.0,117479.0,130929.0,731.0
148,2021,3,11680531,논현2동,1,1층,1791745.0,129573.0,147491.0,257.0
149,2021,3,11680531,논현2동,2,1층외,1102658.0,110922.0,121949.0,474.0
150,2021,3,11680545,압구정동,0,전체층,2420977.0,123011.0,147221.0,576.0
151,2021,3,11680545,압구정동,1,1층,3381369.0,181352.0,215166.0,235.0
152,2021,3,11680545,압구정동,2,1층외,1759123.0,82805.0,100396.0,341.0
153,2021,3,11680565,청담동,0,전체층,1792899.0,121096.0,139025.0,595.0
154,2021,3,11680565,청담동,1,1층,2140914.0,162832.0,184241.0,182.0
155,2021,3,11680565,청담동,2,1층외,1639536.0,102704.0,119099.0,413.0
156,2021,3,11680580,삼성1동,0,전체층,2124451.0,186599.0,207844.0,396.0
157,2021,3,11680580,삼성1동,1,1층,1945325.0,145659.0,165112.0,108.0
158,2021,3,11680580,삼성1동,2,1층외,2191623.0,201952.0,223868.0,288.0
159,2021,3,11680590,삼성2동,0,전체층,2035252.0,120959.0,141311.0,483.0
160,2021,3,11680590,삼성2동,1,1층,2378833.0,149006.0,172794.0,189.0
161,2021,3,11680590,삼성2동,2,1층외,1814379.0,102928.0,121072.0,294.0
162,2021,3,11680600,대치1동,0,전체층,3208650.0,146896.0,178982.0,160.0
163,2021,3,11680600,대치1동,1,1층,3702905.0,203542.0,240571.0,66.0
164,2021,3,11680600,대치1동,2,1층외,2861619.0,107122.0,135739.0,94.0
165,2021,3,11680610,대치2동,0,전체층,1921055.0,130122.0,149332.0,468.0
166,2021,3,11680610,대치2동,1,1층,2827953.0,169173.0,197452.0,179.0
167,2021,3,11680610,대치2동,2,1층외,1359342.0,105934.0,119528.0,289.0
168,2021,3,11680630,대치4동,0,전체층,2371289.0,118766.0,142478.0,632.0
169,2021,3,11680630,대치4동,1,1층,3164102.0,168083.0,199724.0,234.0
170,2021,3,11680630,대치4동,2,1층외,1905162.0,89770.0,108821.0,398.0
171,2021,3,11680640,역삼1동,0,전체층,1466013.0,132108.0,146768.0,1678.0
172,2021,3,11680640,역삼1동,1,1층,1961763.0,140961.0,160579.0,552.0
173,2021,3,11680640,역삼1동,2,1층외,1222981.0,127768.0,139997.0,1126.0
174,2021,3,11680650,역삼2동,0,전체층,2027192.0,126357.0,146629.0,499.0
175,2021,3,11680650,역삼2동,1,1층,2625365.0,152579.0,178833.0,171.0
176,2021,3,11680650,역삼2동,2,1층외,1715340.0,112686.0,129840.0,328.0
177,2021,3,11680655,도곡1동,0,전체층,2108439.0,112778.0,133862.0,188.0
178,2021,3,11680655,도곡1동,1,1층,2813430.0,154071.0,182205.0,81.0
179,2021,3,11680655,도곡1동,2,1층외,1574754.0,81519.0,97266.0,107.0
180,2021,3,11680656,도곡2동,0,전체층,2017959.0,127127.0,147307.0,244.0
181,2021,3,11680656,도곡2동,1,1층,2538935.0,164925.0,190314.0,86.0
182,2021,3,11680656,도곡2동,2,1층외,1734390.0,106554.0,123898.0,158.0
183,2021,3,11680660,개포1동,0,전체층,1343673.0,87840.0,101277.0,23.0
184,2021,3,11680660,개포1동,1,1층,1602122.0,143468.0,159490.0,8.0
185,2021,3,11680660,개포1동,2,1층외,1205835.0,58172.0,70230.0,15.0
186,2021,3,11680670,개포2동,0,전체층,3173748.0,113092.0,144830.0,140.0
187,2021,3,11680670,개포2동,1,1층,2759482.0,144117.0,171711.0,75.0
188,2021,3,11680670,개포2동,2,1층외,3651747.0,77295.0,113813.0,65.0
189,2021,3,11680690,개포4동,0,전체층,1801354.0,69781.0,87795.0,263.0
190,2021,3,11680690,개포4동,1,1층,1480309.0,82913.0,97716.0,127.0
191,2021,3,11680690,개포4동,2,1층외,2101153.0,57518.0,78530.0,136.0
192,2021,3,11680700,세곡동,0,전체층,3307612.0,111097.0,144173.0,232.0
193,2021,3,11680700,세곡동,1,1층,3315307.0,151178.0,184331.0,111.0
194,2021,3,11680700,세곡동,2,1층외,3300553.0,74328.0,107334.0,121.0
195,2021,3,11680720,일원본동,0,전체층,2566075.0,109432.0,135093.0,67.0
196,2021,3,11680720,일원본동,1,1층,2844200.0,151364.0,179806.0,31.0
197,2021,3,11680720,일원본동,2,1층외,2326579.0,73324.0,96590.0,36.0
198,2021,3,11680730,일원1동,0,전체층,1700317.0,78329.0,95332.0,144.0
199,2021,3,11680730,일원1동,1,1층,2005889.0,108146.0,128205.0,87.0
200,2021,3,11680730,일원1동,2,1층외,1233917.0,32818.0,45157.0,57.0
201,2021,3,11680740,일원2동,0,전체층,2595981.0,100799.0,126759.0,68.0
202,2021,3,11680740,일원2동,1,1층,4308079.0,222029.0,265110.0,15.0
203,2021,3,11680740,일원2동,2,1층외,2111425.0,66488.0,87603.0,53.0
204,2021,3,11680750,수서동,0,전체층,1912620.0,102827.0,121954.0,118.0
205,2021,3,11680750,수서동,1,1층,2788197.0,142285.0,170167.0,47.0
206,2021,3,11680750,수서동,2,1층외,1333013.0,76707.0,90038.0,71.0
207,2021,4,11680590,삼성2동,0,전체층,2158328.0,121563.0,143146.0,399.0
208,2021,4,11680610,대치2동,0,전체층,1989993.0,128590.0,148490.0,403.0
209,2021,4,11680740,일원2동,0,전체층,2927246.0,104667.0,133940.0,63.0
210,2021,4,11680580,삼성1동,0,전체층,2065340.0,197519.0,218172.0,320.0
211,2021,4,11620685,신사동,0,전체층,1461605.0,81885.0,96501.0,174.0
212,2021,4,11680730,일원1동,0,전체층,2037926.0,81267.0,101646.0,127.0
213,2021,4,11680650,역삼2동,0,전체층,2203659.0,131662.0,153698.0,406.0
214,2021,4,11680640,역삼1동,0,전체층,1487306.0,134811.0,149684.0,1373.0
215,2021,4,11680690,개포4동,0,전체층,1865390.0,69102.0,87756.0,230.0
216,2021,4,11680660,개포1동,0,전체층,1446280.0,93273.0,107736.0,21.0
217,2021,4,11680700,세곡동,0,전체층,3637251.0,114777.0,151149.0,191.0
218,2021,4,11680510,신사동,0,전체층,2036444.0,114430.0,134795.0,526.0
219,2021,4,11680531,논현2동,0,전체층,1420660.0,112020.0,126226.0,627.0
220,2021,4,11680630,대치4동,0,전체층,2605929.0,120762.0,146821.0,505.0
221,2021,4,11680670,개포2동,0,전체층,3427624.0,116195.0,150472.0,134.0
222,2021,4,11680545,압구정동,0,전체층,2527693.0,125282.0,150559.0,467.0
223,2021,4,11680720,일원본동,0,전체층,2784355.0,123685.0,151529.0,56.0
224,2021,4,11680521,논현1동,0,전체층,1673278.0,111615.0,128348.0,613.0
225,2021,4,11680656,도곡2동,0,전체층,2233795.0,130610.0,152948.0,200.0
226,2021,4,11680655,도곡1동,0,전체층,2273813.0,112621.0,135359.0,155.0
227,2021,4,11680750,수서동,0,전체층,1997415.0,113477.0,133451.0,98.0
228,2021,4,11680600,대치1동,0,전체층,3151272.0,155602.0,187115.0,144.0
229,2021,4,11680565,청담동,0,전체층,1885650.0,118935.0,137791.0,499.0
230,2021,4,11680531,논현2동,2,1층외,1166435.0,99111.0,110776.0,400.0
231,2021,4,11680565,청담동,1,1층,2227729.0,160525.0,182802.0,146.0
232,2021,4,11680640,역삼1동,2,1층외,1284828.0,132974.0,145822.0,956.0
233,2021,4,11680531,논현2동,1,1층,1868634.0,134765.0,153452.0,227.0
234,2021,4,11680730,일원1동,2,1층외,1910109.0,31521.0,50622.0,47.0
