기준_년,기준_분기,상권_구분_코드_명,상권_코드,상권_코드_명,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,시간대,시간대_매출금액,시간대_유동인구_수,평일_유동인구_수_평균,주말_유동인구_수_평균,총_직장_인구_수,연령대_10_직장인구_비율,연령대_20_직장인구_비율,연령대_30_직장인구_비율,연령대_40_직장인구_비율,연령대_50_직장인구_비율,연령대_60_이상_직장_인구_비율,총_상주인구_수,연령대_10_상주인구_비율,연령대_20_상주인구_비율,연령대_30_상주인구_비율,연령대_40_상주인구_비율,연령대_50_상주인구_비율,연령대_60_이상_상주인구_비율,총_가구_수,집객시설_수,월_평균_소득_금액,소득_구간_코드,지출_총금액,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,영역_면적
2021,1,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,00~06,2895574.0,84807.0,44072.0,39578.5,2628.0,0.006468797564687975,0.20509893455098935,0.2545662100456621,0.2633181126331811,0.2210806697108067,0.04946727549467275,1921.0,0.11764705882352941,0.16866215512753774,0.2280062467464862,0.15720978656949505,0.12857886517438835,0.19989588755856325,1003.0,4.0,3347336.0,7.0,1056500384.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,46603.0
2021,1,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,06~11,18850470.0,68939.0,44072.0,39578.5,2628.0,0.006468797564687975,0.20509893455098935,0.2545662100456621,0.2633181126331811,0.2210806697108067,0.04946727549467275,1921.0,0.11764705882352941,0.16866215512753774,0.2280062467464862,0.15720978656949505,0.12857886517438835,0.19989588755856325,1003.0,4.0,3347336.0,7.0,1056500384.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,46603.0
2021,1,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,11~14,32037081.0,38283.0,44072.0,39578.5,2628.0,0.006468797564687975,0.20509893455098935,0.2545662100456621,0.2633181126331811,0.2210806697108067,0.04946727549467275,1921.0,0.11764705882352941,0.16866215512753774,0.2280062467464862,0.15720978656949505,0.12857886517438835,0.19989588755856325,1003.0,4.0,3347336.0,7.0,1056500384.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,46603.0
2021,1,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,14~17,33548247.0,34330.0,44072.0,39578.5,2628.0,0.006468797564687975,0.20509893455098935,0.2545662100456621,0.2633181126331811,0.2210806697108067,0.04946727549467275,1921.0,0.11764705882352941,0.16866215512753774,0.2280062467464862,0.15720978656949505,0.12857886517438835,0.19989588755856325,1003.0,4.0,3347336.0,7.0,1056500384.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,46603.0
2021,1,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,17~21,67679469.0,38404.0,44072.0,39578.5,2628.0,0.006468797564687975,0.20509893455098935,0.2545662100456621,0.2633181126331811,0.2210806697108067,0.04946727549467275,1921.0,0.11764705882352941,0.16866215512753774,0.2280062467464862,0.15720978656949505,0.12857886517438835,0.19989588755856325,1003.0,4.0,3347336.0,7.0,1056500384.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,46603.0
2021,1,골목상권,3110972,강남세브란스병원미래의학연구센터,11680.0,강남구,11680650.0,역삼2동,21~24,49799528.0,34757.0,44072.0,39578.5,2628.0,0.006468797564687975,0.20509893455098935,0.2545662100456621,0.2633181126331811,0.2210806697108067,0.04946727549467275,1921.0,0.11764705882352941,0.16866215512753774,0.2280062467464862,0.15720978656949505,0.12857886517438835,0.19989588755856325,1003.0,4.0,3347336.0,7.0,1056500384.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,46603.0
2021,1,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,00~06,17401505.0,159516.0,112943.2,98954.0,578.0,0.0017301038062283738,0.19204152249134948,0.32525951557093424,0.2179930795847751,0.14878892733564014,0.11418685121107267,2022.0,0.13353115727002968,0.1963402571711177,0.21364985163204747,0.16221562809099901,0.12265084075173097,0.17161226508407518,1080.0,2.0,3250531.0,7.0,1119489213.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,55724.0
2021,1,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,06~11,53288495.0,158071.0,112943.2,98954.0,578.0,0.0017301038062283738,0.19204152249134948,0.32525951557093424,0.2179930795847751,0.14878892733564014,0.11418685121107267,2022.0,0.13353115727002968,0.1963402571711177,0.21364985163204747,0.16221562809099901,0.12265084075173097,0.17161226508407518,1080.0,2.0,3250531.0,7.0,1119489213.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,55724.0
2021,1,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,11~14,42820807.0,117052.0,112943.2,98954.0,578.0,0.0017301038062283738,0.19204152249134948,0.32525951557093424,0.2179930795847751,0.14878892733564014,0.11418685121107267,2022.0,0.13353115727002968,0.1963402571711177,0.21364985163204747,0.16221562809099901,0.12265084075173097,0.17161226508407518,1080.0,2.0,3250531.0,7.0,1119489213.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,55724.0
2021,1,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,14~17,46334496.0,113285.0,112943.2,98954.0,578.0,0.0017301038062283738,0.19204152249134948,0.32525951557093424,0.2179930795847751,0.14878892733564014,0.11418685121107267,2022.0,0.13353115727002968,0.1963402571711177,0.21364985163204747,0.16221562809099901,0.12265084075173097,0.17161226508407518,1080.0,2.0,3250531.0,7.0,1119489213.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,55724.0
2021,1,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,17~21,104152568.0,132153.0,112943.2,98954.0,578.0,0.0017301038062283738,0.19204152249134948,0.32525951557093424,0.2179930795847751,0.14878892733564014,0.11418685121107267,2022.0,0.13353115727002968,0.1963402571711177,0.21364985163204747,0.16221562809099901,0.12265084075173097,0.17161226508407518,1080.0,2.0,3250531.0,7.0,1119489213.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,55724.0
2021,1,골목상권,3110976,언북초등학교,11680.0,강남구,11680565.0,청담동,21~24,74814495.0,82547.0,112943.2,98954.0,578.0,0.0017301038062283738,0.19204152249134948,0.32525951557093424,0.2179930795847751,0.14878892733564014,0.11418685121107267,2022.0,0.13353115727002968,0.1963402571711177,0.21364985163204747,0.16221562809099901,0.12265084075173097,0.17161226508407518,1080.0,2.0,3250531.0,7.0,1119489213.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,55724.0
2021,1,골목상권,3110977,논현로18길,11680.0,강남구,11680690.0,개포4동,00~06,31470193.0,25924.0,18904.0,15411.0,148.0,0.0,0.14864864864864866,0.21621621621621623,0.30405405405405406,0.19594594594594594,0.13513513513513514,691.0,0.11722141823444283,0.14327062228654125,0.2141823444283647,0.1389290882778582,0.16931982633863965,0.2170767004341534,340.0,0.0,2809700.0,6.0,275630230.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,17288.0
