상권_코드,상권_코드_명,행정동_코드,행정동_코드_명,center_point,latitude,longitude
3110978,도곡2동주민센터(대치중학교),11680656,도곡2동,POINT (127.04675015085631 37.48366585676609),37.48366585676609,127.04675015085631
3110977,논현로18길,11680690,개포4동,POINT (127.0469648482414 37.47742612918721),37.47742612918721,127.0469648482414
3110976,언북초등학교,11680565,청담동,POINT (127.04557844536592 37.52179452589771),37.52179452589771,127.04557844536592
3110975,매봉역 1번,11680655,도곡1동,POINT (127.04504538038022 37.48700571081083),37.48700571081083,127.04504538038022
3110974,언주중학교,11680590,삼성2동,POINT (127.0449288841579 37.513599123326834),37.513599123326834,127.0449288841579
3110965,언주역 6번,11680640,역삼1동,POINT (127.03784824222151 37.506199182522934),37.506199182522934,127.03784824222151
3110964,싸리고개근린공원,11680655,도곡1동,POINT (127.03763833547961 37.490206204724785),37.490206204724785,127.03763833547961
3110963,역삼월드메르디앙아파트,11680640,역삼1동,POINT (127.03711162724817 37.49250914692727),37.49250914692727,127.03711162724817
3110962,도산공원북측,11680545,압구정동,POINT (127.03510056060674 37.5258282747263),37.5258282747263,127.03510056060674
3110961,언주역 3번,11680531,논현2동,POINT (127.03425233624073 37.510915099501624),37.510915099501624,127.03425233624073
3110960,은광여고,11680655,도곡1동,POINT (127.0342263969673 37.48745699767216),37.48745699767216,127.0342263969673
3110959,신구중학교,11680545,압구정동,POINT (127.0323468142365 37.52542239821784),37.52542239821784,127.0323468142365
3110958,역삼역 4번,11680640,역삼1동,POINT (127.03264922762077 37.50307610928917),37.50307610928917,127.03264922762077
3110957,언북중학교,11680531,논현2동,POINT (127.03164249130684 37.51769278012581),37.51769278012581,127.03164249130684
3111001,아래방죽마을공원(율현초등학교),11680700,세곡동,POINT (127.10865281329457 37.47110741835461),37.47110741835461,127.10865281329457
3111000,대왕초등학교(세곡동사거리서남측),11680700,세곡동,POINT (127.10697968224976 37.463561433310126),37.463561433310126,127.10697968224976
3110999,윗방죽마을공원,11680700,세곡동,POINT (127.10388457944443 37.47158712619459),37.47158712619459,127.10388457944443
3110998,은곡마을(은곡마을공원),11680700,세곡동,POINT (127.09795099963152 37.466670521585975),37.466670521585975,127.09795099963152
3110997,대청초등학교,11680730,일원1동,POINT (127.08459711900527 37.4915457344097),37.4915457344097,127.08459711900527
3110956,언주역 8번,11680640,역삼1동,POINT (127.03124034274882 37.504619942111106),37.504619942111106,127.03124034274882
3110955,논현초등학교,11680521,논현1동,POINT (127.02943600591685 37.50899520307415),37.50899520307415,127.02943600591685
3110954,국기원,11680640,역삼1동,POINT (127.02861434169675 37.50245038857423),37.50245038857423,127.02861434169675
3110953,학동근린공원,11680521,논현1동,POINT (127.02715410725138 37.515929407875525),37.515929407875525,127.02715410725138
3110952,논현목련공원,11680521,논현1동,POINT (127.02642881403081 37.511320148919985),37.511320148919985,127.02642881403081
3110951,신사은행나무공원,11680510,신사동,POINT (127.02530959175643 37.52074958626365),37.52074958626365,127.02530959175643
3110950,논현역 7번,11680521,논현1동,POINT (127.02391812380715 37.513635918947145),37.513635918947145,127.02391812380715
3110949,한남IC,11680510,신사동,POINT (127.01924175620952 37.52089697963379),37.52089697963379,127.01924175620952
3110996,대치2동주민센터,11680610,대치2동,POINT (127.06396702186831 37.50186226895327),37.50186226895327,127.06396702186831
3110995,봉은사역 4번,11680580,삼성1동,POINT (127.0628212411827 37.5171593825635),37.5171593825635,127.0628212411827
3110994,개포고등학교,11680670,개포2동,POINT (127.06143025149692 37.48338597227012),37.48338597227012,127.06143025149692
3110993,개포지하차도 북측,11680660,개포1동,POINT (127.05846973017674 37.477825876849295),37.477825876849295,127.05846973017674
3110992,도곡초등학교,11680630,대치4동,POINT (127.05661990644089 37.500026630784234),37.500026630784234,127.05661990644089
3110991,삼성중앙역 5번,11680580,삼성1동,POINT (127.05616278850174 37.51246468984291),37.51246468984291,127.05616278850174
3110990,청담역 12번,11680565,청담동,POINT (127.0550783291813 37.520556397291536),37.520556397291536,127.0550783291813
3110989,대치동아우편취급국,11680630,대치4동,POINT (127.0544946991722 37.50287832881917),37.50287832881917,127.0544946991722
3110988,청담역 3번,11680580,삼성1동,POINT (127.05424809172843 37.51829302814207),37.51829302814207,127.05424809172843
3111002,한국교통안전공단 강남자동차검사소,11680700,세곡동,POINT (127.11946967576574 37.469498896456074),37.469498896456074,127.11946967576574
3110987,영동대교남단,11680565,청담동,POINT (127.05368516713573 37.526106363180446),37.526106363180446,127.05368516713573
3110986,삼성중앙역 7번,11680590,삼성2동,POINT (127.05236123219713 37.510549087728904),37.510549087728904,127.05236123219713
3110985,청담근린공원,11680565,청담동,POINT (127.05209039583458 37.52322074838127),37.52322074838127,127.05209039583458
3110984,포이초등학교(개포목련어린이공원),11680690,개포4동,POINT (127.05212084695282 37.47380726659783),37.47380726659783,127.05212084695282
3110983,국립국악고등학교,11680690,개포4동,POINT (127.05029129054793 37.47790588451351),37.47790588451351,127.05029129054793
3110973,강남구청역 4번,11680565,청담동,POINT (127.04354709396488 37.51882552429983),37.51882552429983,127.04354709396488
3110972,강남세브란스병원미래의학연구센터,11680650,역삼2동,POINT (127.04251053481089 37.49455433678061),37.49455433678061,127.04251053481089
3110971,선정릉역 4번,11680640,역삼1동,POINT (127.04287374371162 37.50727886732617),37.50727886732617,127.04287374371162
3110970,학동초등학교,11680531,논현2동,POINT (127.04121769754254 37.51156656741009),37.51156656741009,127.04121769754254
3110969,베르사이유1아파트,11680650,역삼2동,POINT (127.04030948552892 37.49890572998797),37.49890572998797,127.04030948552892
