기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20221,A,골목상권,3110486,은평구청,CS300002,편의점,607747339,96223,439515126,168232213,89417546,83497738,80410276,97556339,88633227,91904025,76328188,51251549,94854302,88790118,90523513,158966144,123361713,374555959,233191380,9927975,131742134,161104897,147066617,123907069,33998647,71859,24364,14768,14078,13935,15369,13709,13228,11136,6310,18824,16032,15811,23282,15964,57827,38396,3169,24385,25927,20778,17503,4461
20221,D,발달상권,3120092,불광역,CS300002,편의점,666763065,91038,458594418,208168647,90146998,85558955,90727546,94716959,97443960,117190170,90978477,59377829,77571069,68030874,82407502,202803602,176572189,425486182,237997062,7433382,184053062,187519480,135962103,109359727,39155489,63790,27248,12463,12524,12596,13122,13085,14565,12683,7650,13245,11342,12923,26436,19442,59562,31150,1099,27345,25850,16261,14291,5865
20221,A,골목상권,3110522,홍제역 3번,CS300002,편의점,188327852,27283,147184828,41143024,27721152,26679695,33618888,31177271,27987822,23829699,17313325,16429560,34958207,30218800,28106235,41674052,36940998,131577621,56750231,3270118,49868171,41747258,45155685,34182590,14104030,21700,5583,4545,3908,4331,4719,4197,3138,2445,1714,6797,5102,4255,5218,4197,17556,9727,1312,9237,6807,4592,4120,1215
20221,A,골목상권,3110546,양화대교북단,CS300002,편의점,1811773372,144984,1214177829,597595543,153749485,221485867,398904061,278426490,161611926,377888165,219707378,318587335,147192925,123218970,208341111,454366888,560066143,1433801416,377971956,10262008,275501638,357623771,192531421,922477672,53376862,104510,40474,21135,21163,20503,21019,20690,20157,20317,14971,20993,19416,20720,37485,31399,89339,55645,2156,44447,50475,23584,16722,7600
20221,R,전통시장,3130195,도화동 상점가,CS300002,편의점,544689413,80699,412021808,132667605,83829520,80282682,76048458,83709979,88151169,74177585,58490020,32242898,73335267,80026650,75601274,171112678,112370646,340569293,182926031,4549882,127573274,154748417,107098032,87797658,41728062,61789,18910,12423,11724,11966,12858,12818,10335,8575,3998,12004,14199,11948,23824,14726,49653,29357,1009,21834,23708,14235,12801,5422
20221,A,골목상권,3110606,신한은행 신월동지점,CS300002,편의점,1100968248,153127,776501976,324466272,149518194,162085210,154138076,158857949,151902547,170544221,153922051,97404722,168236423,116791638,148784221,338211447,231539797,765253117,335715131,17664394,204631270,265480464,267260064,208640084,137291972,108937,44190,21663,21799,21590,22539,21346,22874,21316,14061,26805,17053,20886,44132,30190,106014,47113,3948,34739,36811,34727,27643,15259
20221,A,골목상권,3110961,언주역 3번,CS300002,편의점,696522421,90174,526856130,169666291,108662910,102774426,104219086,111434110,99765598,87012833,82653458,64119139,86399843,123356732,109608929,181036053,132001725,382226518,230154964,531835,127538417,263621295,159935796,39025711,21728424,71485,18689,14718,13686,13826,15300,13955,9093,9596,7037,14838,18200,15287,21294,13518,54058,29993,100,18784,33817,21797,5938,3618
20221,D,발달상권,3120190,강남을지병원,CS300002,편의점,3935305117,543799,3102211752,833093365,621346059,595121031,609613272,668880667,607250723,478718313,354375052,325363684,726372227,715148892,549760508,933662625,684997181,2213911604,1315407257,13584307,827662047,1216284327,780019810,488281735,203486639,442863,100936,87843,85703,86729,96605,85983,57059,43877,38891,132486,117544,76934,110879,67065,311745,200063,2478,137416,173127,104299,67969,26515
20221,D,발달상권,3120242,강동구청역,CS300002,편의점,1023151167,142806,738114852,285036315,146023732,146830754,144370137,145044145,155846084,152069203,132967112,97532447,138691176,142777672,135826358,295577304,212746210,690561470,328403328,4874373,177959379,316961777,270198514,162155275,86815480,105134,37672,21054,20690,21659,21354,20377,19580,18092,12828,23424,21564,20057,38170,26763,95219,47263,1442,28670,42172,34222,23334,12643
20221,A,골목상권,3111026,문정역 2번,CS300002,편의점,150592197,19937,109447567,41144630,19702481,21010485,24486588,23008721,21239292,22982608,18162022,15732456,17581469,21614002,20276401,39753640,35634229,112031689,38560508,420283,22537740,54402969,31200972,26095404,15934829,14733,5204,2894,2835,3067,2985,2952,2735,2469,1808,2445,3407,3067,5289,3921,14477,5460,118,4293,7143,3168,3553,1662
20221,A,골목상권,3111034,오동나무공원(송파레미니스1단지),CS300002,편의점,447875687,59096,329828294,118047393,67954917,69827102,61534333,65756778,64755164,59454791,58592602,40761776,76678655,57935483,74228588,116906991,81364194,307867243,130780471,6779448,59070123,130801498,115725631,95146973,31124041,43883,15213,8760,9206,8547,8888,8482,7658,7555,5117,11301,9257,9156,14284,9981,40546,17737,1572,9163,18570,13508,11130,4341
20221,D,발달상권,3120245,둔촌역,CS300002,편의점,1257892948,185104,936809029,321083919,187216351,182436628,181716956,190252129,195186965,175779862,145304057,71234734,222628927,176412509,189257784,367604871,230754123,854777027,393089223,20443830,231336376,339474678,300069033,239390280,117152053,138486,46618,27582,26733,27560,28246,28365,24308,22310,9309,34785,29658,29633,51485,30234,124354,60093,5758,41484,47009,41642,33026,15527
