기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20223,A,골목상권,3110710,남구로역 3번,2365608,1281047,1084561,130786,288752,406872,452465,507055,579679,608305,477944,285809,292472,405237,295842,339811,336152,333181,330599,327070,332789,366008
20223,A,골목상권,3110709,구로119안전센터,1263048,619438,643609,108649,154924,217032,211589,241217,329636,377025,263191,137273,128924,188971,167662,183859,182319,180858,179726,178835,175157,182294
20223,A,골목상권,3110708,화원어린이공원,371310,187833,183476,31992,46936,66854,63646,67476,94405,103199,74697,40583,40790,62506,49533,52519,51062,50797,50368,50501,56163,59900
20223,A,골목상권,3110707,구로창업지원센터,1050288,496714,553575,239918,98735,145746,186022,159298,220569,169530,208570,173002,180268,211825,107093,151453,149900,150547,151220,149945,147143,150080
20223,A,골목상권,3110706,그라운드 고척,282289,137642,144646,57498,46787,34206,41445,43557,58796,59508,53671,39074,41007,56269,32760,39064,39426,39802,39205,39482,42694,42618
20223,A,골목상권,3110705,고산초등학교,28664,14280,14384,4997,5033,3786,4253,4542,6052,8077,5977,3091,2963,4429,4128,4044,4085,4138,4083,4090,4146,4078
20223,A,골목상권,3110704,고척중학교,54235,25959,28277,9725,8290,7162,8234,8921,11904,17984,11538,5004,4729,7025,7953,7881,7873,7869,7779,7728,7559,7546
20223,A,골목상권,3110703,개봉역,588456,270457,318000,96427,65040,93030,95573,87129,151255,121517,115250,73669,77911,120209,79901,83625,82857,83395,82513,83230,87074,85762
20223,A,골목상권,3110702,개봉초등학교,941224,450804,490420,131374,106082,142892,157409,149489,253978,239077,187338,106692,111427,168048,128642,134548,132423,133685,132928,133724,136583,137330
20223,A,골목상권,3110701,고척동성당,675381,306721,368659,148920,67301,87109,118027,99872,154151,205629,146607,75960,71427,93796,81964,96623,94556,95832,95837,94952,97950,99627
20223,A,골목상권,3110700,고척초등학교,1005523,458010,547513,187253,109642,133489,159701,158949,256492,253403,207858,124816,126254,170050,123141,141995,140738,139272,138506,139216,149319,156478
20223,A,골목상권,3110699,덕의초등학교,496469,240353,256115,100695,50233,60963,80341,76441,127797,121473,99505,56874,60332,91281,67004,69707,68525,68421,69121,68625,74208,77863
20223,A,골목상권,3110698,개웅초등학교(개웅중학교),692760,330133,362628,141988,76083,94732,99155,96463,184340,212957,144299,71395,67189,100437,96485,99892,98161,97672,97362,96396,99307,103971
