기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
20222,A,골목상권,3110046,버티고개,2405645.0,5.0,2189269535.0,542877422.0,273277184.0,170133102.0,270775096.0,383064569.0,92229389.0,65735494.0,296494338.0,94682941.0
20222,A,골목상권,3110047,다산성곽길,2759072.0,6.0,1195911920.0,333559837.0,144944102.0,94111863.0,164532820.0,191690418.0,45183621.0,38259675.0,132830410.0,50799174.0
20222,A,골목상권,3110048,장충동주민센터,2981152.0,6.0,1413011253.0,333738392.0,179225363.0,113555134.0,167353345.0,250989361.0,64620586.0,42179838.0,200782996.0,60566238.0
20222,A,골목상권,3110049,장충단 고개,2908231.0,6.0,1079848128.0,262909804.0,134729415.0,85586577.0,126520607.0,187849572.0,43884730.0,33646438.0,157688365.0,47032620.0
20222,A,골목상권,3110050,약수역 7번,2710670.0,6.0,793450199.0,200312818.0,98868312.0,62595154.0,102211925.0,141205113.0,32104744.0,23888631.0,97133190.0,35130312.0
20222,A,골목상권,3110051,한양공고앞 교차로,2461144.0,6.0,667566496.0,206343484.0,79646035.0,51943058.0,97497210.0,93857021.0,24201359.0,22735246.0,63339556.0,28003527.0
20222,A,골목상권,3110052,장충초등학교,2404238.0,5.0,797341566.0,202359082.0,98969500.0,62647980.0,99011192.0,136891358.0,31316265.0,24697633.0,106464421.0,34984135.0
20222,A,골목상권,3110053,청구역 1번,2240230.0,5.0,975466676.0,287025373.0,117447996.0,73960899.0,133827161.0,146820770.0,31976019.0,33107320.0,108698250.0,42602888.0
20222,A,골목상권,3110054,청구역 3번,3171413.0,7.0,2007417767.0,468638910.0,252564943.0,159957440.0,229599605.0,349243810.0,89488697.0,60305895.0,312866680.0,84751787.0
20222,A,골목상권,3110055,황학동벼룩시장,2774287.0,6.0,183778794.0,45436743.0,24221193.0,16165233.0,22273397.0,32759991.0,9626120.0,5750627.0,19364552.0,8180938.0
