기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20222,A,골목상권,3110902,사당역 4번,CS300002,편의점,1318452733,209093,917551232,400901501,187007164,174838716,178972148,181651417,195081787,204341115,196560386,168433752,168156665,149891847,158112416,353646633,320211420,904047586,414405147,10965951,310595865,471639037,242501932,173427557,109322391,145566,63527,29726,28062,28895,28894,29989,32017,31510,23483,32576,25239,25892,55511,46392,143421,65672,3341,55423,75979,35563,24424,14363
20222,D,발달상권,3120148,국회의사당역(국회의사당),CS300002,편의점,4895983367,815060,3909004265,986979102,774890603,802125532,756422569,758123344,817442217,530952557,456026545,329013883,1136753833,887456915,747503003,1067193432,728062301,3009456664,1354014425,18631338,748295472,1407921177,1137043538,775544608,276034951,662820,152240,129862,138421,128660,128718,137159,80332,71908,39746,225083,164604,131712,162322,91593,510742,264672,4256,156512,267930,182953,116018,47747
20222,A,골목상권,3110881,구립대학경로당(관악산샘말공원),CS300002,편의점,1659553489,304570,1164883276,494670213,224094612,241264251,238298313,226839770,234386330,256589680,238080533,303270035,204227361,177360154,175895530,414163076,384637333,1231993429,427560060,8782395,555950890,555582789,277398384,197006835,64832196,215263,89307,42123,43859,44274,41460,43547,45716,43591,47812,42180,37535,35036,75623,66384,218157,86413,2346,116901,100376,40163,33221,11563
20222,A,골목상권,3110820,성남고등학교,CS300002,편의점,1150563911,179806,809569514,340994397,154340570,160543710,162534697,156337661,175812876,176303565,164690832,106495832,196246696,116608378,153348404,359148300,218716301,731649472,418914439,62149437,221348802,286418633,271188774,240059727,69398538,127867,51939,25207,26605,25833,25089,25133,26907,25032,14799,35245,19903,26766,49678,33415,109482,70324,21371,38754,40107,35482,33894,10198
20222,R,전통시장,3130285,서원동상점가,CS300002,편의점,1385296278,246555,929480135,455816143,170550048,178424397,186291037,177683777,216530876,248558927,207257216,266740046,143900155,117871948,138049849,371165336,347568944,943498574,434463066,30600465,567130416,386236038,207325853,137503457,49165411,165342,81213,31064,32139,33553,31572,37014,44038,37175,41962,28572,23489,27208,66557,58767,165872,80226,7851,107782,66458,31790,23383,8835
20222,R,전통시장,3130225,개봉중앙시장,CS300002,편의점,346445928,58711,233052502,113393426,43642813,46128413,45891272,47319264,50070740,56716298,56677128,61905282,43590636,39276566,42405533,94213396,65054515,247206311,99239617,5750540,63014720,83709823,77642593,77381930,38946322,40109,18602,7531,8319,7971,7728,8560,9663,8939,9770,8711,7154,7849,14656,10571,40030,18681,1725,12753,14202,12307,11287,6437
20222,A,골목상권,3110721,가리봉파출소,CS300002,편의점,168543607,26621,121622266,46921341,22534381,26176067,22275837,23419331,27216650,24516430,22404911,18778875,28441560,17871715,18540169,48009980,36901308,112059227,56484380,255308,47997543,59142997,29975724,18613871,12558164,19436,7185,3865,4046,3739,3794,3992,3754,3431,2885,5470,2806,2972,7058,5430,17640,8981,113,8104,9440,3986,3149,1829
20222,A,골목상권,3110871,신원동주민센터,CS300002,편의점,383957467,57769,272394895,111562572,56762774,58413481,51270048,51224094,54724498,59147536,52415036,72624384,37863295,37434644,34091151,107557331,94386662,241227348,142730119,5425543,124179121,139417778,53027068,48636732,13271225,40894,16875,8549,8681,8294,7541,7829,8924,7951,10188,7043,5913,5869,15192,13564,36709,21060,1209,20990,20376,6674,6157,2363
20222,A,골목상권,3110768,도림2동유수지내체육시설,CS300002,편의점,602026228,92483,407761836,194264392,80853112,81592405,81151961,78139735,86024623,105914978,88349414,83262252,78559639,50937609,61704241,179391831,148170656,385339851,216686377,3128259,158864817,226682420,98113562,85030065,30207105,63877,28606,12476,12813,12425,12576,13587,15388,13218,11298,11987,9462,10304,26955,22477,57784,34699,618,27296,34066,14298,11237,4968
20222,A,골목상권,3110778,구로디지털단지역 4번,CS300002,편의점,572137391,64431,402627714,169509677,71030456,79367357,94582699,73817653,83829549,84254182,85255495,111765899,62384750,41808460,58631597,187661095,109885590,393392629,178744762,6995604,75257598,154095691,114680729,141467573,79640196,44365,20066,8900,8871,9305,8468,8821,9962,10104,12793,8020,6044,7005,18719,11850,44299,20132,1699,11080,18623,12320,13970,6739
20222,A,골목상권,3110892,관악구 중앙길,CS300002,편의점,1874534588,307203,1306181122,568353466,256208639,254326283,255953079,255535323,284157798,304441666,263911800,278466652,219049738,173102046,213037039,540677554,450201559,1241330161,633204427,22645475,596342257,557812494,299091812,256601710,142040840,215561,91642,42198,42297,42558,42314,46194,49126,42516,39595,42726,33693,37556,84597,69036,198881,108322,5117,105498,89839,44704,39389,22656
20222,A,골목상권,3110686,수궁동주민센터,CS300002,편의점,223360812,35746,148132037,75228775,30531610,30656440,29182083,26820793,30941111,43921074,31307701,44583088,32365040,27057702,24363216,48669820,46321946,160367695,62993117,5755872,30749335,52716150,68969325,46766629,18403501,24081,11665,4967,4985,4985,4015,5129,6946,4719,6508,4975,4386,4158,8536,7183,24225,11521,1323,6605,9103,8777,7594,2344
20222,A,골목상권,3110477,은평세무서,CS300002,편의점,301000514,41624,213024418,87976096,40475159,43707239,40192206,43085294,45564520,44132054,43844042,29745102,49752994,37092263,40984098,77977035,65449022,196056838,101050718,2964713,44909063,68992228,81099922,67351316,31790313,29788,11836,5794,6085,5859,5824,6226,6138,5698,4330,7874,5616,5470,10494,7840,27722,13597,632,7819,9707,10609,8685,3867
20222,A,골목상권,3110465,연신내역 7번,CS300002,편의점,531772144,91612,379987806,151784338,76177974,76950468,75544273,67648360,83666731,81910374,69873964,49313834,80161215,72880791,75501892,144227219,109687193,324133967,207638177,22385315,131018433,104325264,125110227,96469495,52463410,66234,25378,13159,14101,13305,12144,13525,13935,11443,6999,16381,12760,13958,23992,17522,53668,37944,7087,25498,17179,18667,13803,9378
